numero,nif,nome,tipo_entidade,deporte,web_modalidades,nome_especialidade,enderezo,direcion,codigo_postal,codigo_provincia,provincia,wikidata_provincias,codigo_concello,concello,wikidata_concellos,telefono1,telefono2,web,data_alta
C-10324,,SQUASH RÍA DE VIGO,CLUB DEPORTIVO,squash,http://www.wikidata.org/entity/Q133201,,"AVDA. DE HISPANIDAD, Nº 96, 1º B",AVDA. DE HISPANIDAD,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,678613718,,,2009-12-18
C-09148,,A LAMA SOCIEDADE DEPORTIVA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RACELO, S/N",RACELO,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36025,A Lama,http://www.wikidata.org/entity/Q1644983,619170496,,,2006-12-05
C-02309,G36122901,XINZO FUTBOL C.,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"PORTELA, 31",PORTELA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36042,Ponteareas,http://www.wikidata.org/entity/Q617119,608149267,,,1989-10-24
,,,,basketball,http://www.wikidata.org/entity/Q5372,,,,,,,,,,,,,,
,,,,athletics,http://www.wikidata.org/entity/Q542,,,,,,,,,,,,,,
C-06099,G32239634,"A.DEPORTIVA DE CAZADORES ""PENTES E BARXA""",CLUB DEPORTIVO,CAZA,,"CAZA MENOR, CAZA MAYOR","PENTES, 24",PENTES,,32,Ourense,http://www.wikidata.org/entity/Q95038,32034,A Gudiña,http://www.wikidata.org/entity/Q677485,696028989,988308990,,1999-01-05
C-03146,G36180867,OIENSE CLUB DE FUTBOL,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,CAMIÑO DO FIAL  12,CAMIÑO DO FIAL,36794,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36036,Oia,http://www.wikidata.org/entity/Q1644565,687602779,,,1991-07-17
F-11633,G70381603,FEDERACIÓN GALLEGA DE ORIENTACIÓN,FEDERACIÓN DEPORTIVA GALEGO,orienteering,http://www.wikidata.org/entity/Q29358,,FOTOGRAFO LUIS KASADO  17,FOTOGRAFO LUIS KASADO,36209,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,696459544,,www.fegado.es,2013-07-09
F-00444,G36640019,FEDERACIÓN GALEGA DE KARATE E DISCIPLINAS ASOCIADAS,FEDERACIÓN DEPORTIVA GALEGO,karate,http://www.wikidata.org/entity/Q11419,,LUIS DE REQUESENS - CASA DO DEPORTE S/N,LUIS DE REQUESENS - CASA DO DEPORTE,15046,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15036,Ferrol,http://www.wikidata.org/entity/Q485329,981323705,625589760,www.federaciongallegakarate.com,1900-01-01
C-00487,G27122514,REAL CLUB NAUTICO DE RIBADEO,CLUB DEPORTIVO,sailing,http://www.wikidata.org/entity/Q14085739,,LUGAR MUELLE DE PORCILLÁN  29,LUGAR MUELLE DE PORCILLÁ,27700,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27051,Ribadeo,http://www.wikidata.org/entity/Q824076,982131144,,,1985-02-27
C-14551,G44587517,CLUB DE HALTEROFILIA FIGA NARÓN,CLUB DEPORTIVO,weightlifting,http://www.wikidata.org/entity/Q83462,,"AVENIDA AVDA DO MAR, 124",AVENIDA AVDA DO MAR,15570,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15054,Narón,http://www.wikidata.org/entity/Q1368896,618079394,663337955,,2022-11-15
C-14550,G72810179,SEMPREPADEL,CLUB DEPORTIVO,padel,http://www.wikidata.org/entity/Q1582389,SENDEIRISMO / ANDAINAS,"AVENIDA AVDA. DE CASTILLA, Nº 7 7",AVENIDA AVDA. DE CASTILLA,32600,32,Ourense,http://www.wikidata.org/entity/Q95038,32085,Verín,http://www.wikidata.org/entity/Q176504,609848649,675655489,,2022-11-14
,,,,table tennis,http://www.wikidata.org/entity/Q3930,,,,,,,,,,,,,,
,,,,CICLISMO,http://www.wikidata.org/entity/Q2215841,,,,,,,,,,,,,,
,,,,DEPORTE XERAL,,,,,,,,,,,,,,,
C-12794,G70510516,CLUB DE MONTAÑA VERTICE,CLUB DEPORTIVO,athletics,http://www.wikidata.org/entity/Q542,SENDEIRISMO / ANDAINAS,"Casa da cultura, Santa Cruz de Ribadulla s/n.",Casa da cultura,15880.,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15089,Vedra,http://www.wikidata.org/entity/Q1616092,646489813,625204119,,2016-11-16
,,,,DEPORTE XERAL,,,,,,,,,,,,,,,
C-00100,G27018027,C. DE TIRO CO ARCO LUCUS AUGUSTI,CLUB DEPORTIVO,archery,http://www.wikidata.org/entity/Q108429,,RUA DA BOUZA 7 1D,RUA DA BOUZA,27003,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,982221723,982221723,,1983-12-02
C-11695,G27449628,CLUB DE TIRO CON ARCO IADOVI,CLUB DEPORTIVO,archery,http://www.wikidata.org/entity/Q108429,,AVENIDA DA VEIGA 7 4D,AVENIDA DA VEIGA,27890,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27013,Cervo,http://www.wikidata.org/entity/Q1616622,676329033,,,2013-09-18
C-12806,,CLUB BADMINTON RAVACHOL PONTEVEDRA,CLUB DEPORTIVO,padel,http://www.wikidata.org/entity/Q1582389,,"COBIÁN AREAL, 12,2º",COBIÁN AREAL,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36038,Pontevedra,http://www.wikidata.org/entity/Q12411,622451589,,,2016-11-29
,,,,table tennis,http://www.wikidata.org/entity/Q3930,,,,,,,,,,,,,,
,,,,squash,http://www.wikidata.org/entity/Q133201,,,,,,,,,,,,,,
,,,,badminton,http://www.wikidata.org/entity/Q7291,,,,,,,,,,,,,,
C-08876,G36323889,"ASOCIACIÓN CULTURAL DEPORTIVA ""UNIÓN DEPORTIVA ATIOS""",CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,BARRIO BARRIO O CARBALLO -ATIOS,BARRIO BARRIO O CARBALLO -ATIOS,36418,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36039,O Porriño,http://www.wikidata.org/entity/Q1616392,616559236,678710991,,2006-04-11
C-11617,,MOTOCLUB PAY-PAY,CLUB DEPORTIVO,MOTOCICLISMO,,MOTO CROSS,"RÚA SAN LORENZO, Nº 8",RÚA SAN LORENZO,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36054,Tomiño,http://www.wikidata.org/entity/Q1628263,699097798,,,2013-06-27
C-11026,G70313499,BALONMAN XALLAS FUTBOL CLUB,CLUB DEPORTIVO,handball,http://www.wikidata.org/entity/Q8418,,"LUGAR LUGAR OUTEIRO-CASTRIZ, S/N",LUGAR LUGAR OUTEIRO-CASTRIZ,15840,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15077,Santa Comba,http://www.wikidata.org/entity/Q1442500,649947476,660399892,,2011-11-16
C-00499,G36040913,C. VOLEIBOL PONTEVEDRA,CLUB DEPORTIVO,VOLEIBOL,http://www.wikidata.org/entity/Q1734,VOLEY-PRAIA,RUA RÚA MICHELENA 18,RUA RÚA MICHELENA,36002,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36038,Pontevedra,http://www.wikidata.org/entity/Q12411,691529651,,,1985-03-08
C-14546,,C.B. PADRÓN,CLUB DEPORTIVO,basketball,http://www.wikidata.org/entity/Q5372,,"RÚA DO CARME, 16",RÚA DO CARME,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15065,Padrón,http://www.wikidata.org/entity/Q500494,646928479,646928479,,2022-11-08
C-07445,G27283902,SOCIEDADE DEPORTIVA O PARAMO,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,LUGAR DA COSTA 5,LUGAR DA COSTA,27363,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27043,O Páramo,http://www.wikidata.org/entity/Q1617334,982157323,636914421,,2002-06-21
C-11638,G32442196,SALA OURENSE 2014,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,FÚTBOL SALA,RUA JESUS SORIA 3 1D,RUA JESUS SORIA,32002,32,Ourense,http://www.wikidata.org/entity/Q95038,32054,Ourense,http://www.wikidata.org/entity/Q99151,687512393,687512393,,2013-07-10
C-00464,G36647311,C. COLEGIO HOGAR SAN ROQUE,CLUB DEPORTIVO,chess,http://www.wikidata.org/entity/Q718,,RUA FILIPINAS 6,RUA FILIPINAS,36204,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,986414311,,,1985-01-25
,,,,VOLEIBOL,http://www.wikidata.org/entity/Q1734,,,,,,,,,,,,,,
,,,,table tennis,http://www.wikidata.org/entity/Q3930,,,,,,,,,,,,,,
,,,,weightlifting,http://www.wikidata.org/entity/Q83462,,,,,,,,,,,,,,
,,,,association football,http://www.wikidata.org/entity/Q2736,,,,,,,,,,,,,,
,,,,handball,http://www.wikidata.org/entity/Q8418,,,,,,,,,,,,,,
,,,,basketball,http://www.wikidata.org/entity/Q5372,,,,,,,,,,,,,,
,,,,athletics,http://www.wikidata.org/entity/Q542,,,,,,,,,,,,,,
C-14545,,PÁDEL M9,CLUB DEPORTIVO,padel,http://www.wikidata.org/entity/Q1582389,,"LIÑARES, 45",LIÑARES,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15031,Culleredo,http://www.wikidata.org/entity/Q1113450,650778589,652850121,,2022-11-07
C-14061,G02724193,CLUB DEPORTIVO STUDIO 19 DANZA,CLUB DEPORTIVO,dancesport,http://www.wikidata.org/entity/Q738622,,RÚA JOAQUÍN LÓRIGA Nº 24,RÚA JOAQUÍN LÓRIGA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,617018205,,,2020-11-17
C-06521,G32262677,ESCOLA KICKBOXING MADOKOAN Y DISCIPLINAS ASOCIADAS,CLUB DEPORTIVO,KICKBOXING E MUAYTHAI,,"LOITA SAMBO, LIBRE OLÍMPICA, GRECORROMANA","AVENIDA JULIO RODRÍGUEZ SOTO, 10, BAIXO",AVENIDA JULIO RODRÍGUEZ SOTO,32500,32,Ourense,http://www.wikidata.org/entity/Q95038,32019,O Carballiño,http://www.wikidata.org/entity/Q1607558,988274416,988274416,,2000-02-16
,,,,LOITA E D.A.,,,,,,,,,,,,,,,
,,,,KUNG-FU,,,,,,,,,,,,,,,
,,,,boxing,http://www.wikidata.org/entity/Q32112,,,,,,,,,,,,,,
C-14542,,IRENE FÚTBOL CLUB,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RÚA LA PAZ, 4, 3º",RÚA LA PAZ,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,606101072,606101072,,2022-11-04
C-11988,G70426069,ESCOLA DE KARATE DOKKODO,CLUB DEPORTIVO,karate,http://www.wikidata.org/entity/Q11419,,AVENIDA JUAN BUENO BUENO 14,AVENIDA JUAN BUENO BUE,15228,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15002,Ames,http://www.wikidata.org/entity/Q1353997,696677311,,,2014-07-14
F-03724,G36756914,FEDERACIÓN GALEGA DE KUNG FU,FEDERACIÓN DEPORTIVA GALEGO,kung fu,http://www.wikidata.org/entity/Q208607,,FOTÓGRAFO LUIS KSADO Nº17-1º- LOCAL 7,FOTÓGRAFO LUIS KSADO,36209,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,986203151,986134085,,1992-11-27
C-07466,G15929516,CLUB ARCO-FERROL,CLUB DEPORTIVO,shooting sports,http://www.wikidata.org/entity/Q206989,,PRAZA DR. IGLESIA PARGA 3-4 5ºA,PRAZA DR. IGLESIA PARGA,15403,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15036,Ferrol,http://www.wikidata.org/entity/Q485329,881122528,661355195,,2002-07-18
,,,,archery,http://www.wikidata.org/entity/Q108429,,,,,,,,,,,,,,
C-14549,,ATLETISMO ILLA DE TAMBO,CLUB DEPORTIVO,athletics,http://www.wikidata.org/entity/Q542,,"PRAZA DA GRANXA, Nº 10, ÁTICO C",PRAZA DA GRANXA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36041,Poio,http://www.wikidata.org/entity/Q1631776,611077844,,,2022-11-14
C-14547,G36031888,ESCUELA DE AEROMODELISMO DE PONTEVEDRA,CLUB DEPORTIVO,AUTOMODELISMO/RADIOCONTROL,,,"RÚA SIERRA, Nº 9, BAIXO",RÚA SIERRA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36038,Pontevedra,http://www.wikidata.org/entity/Q12411,699962196,,,2022-11-09
C-14556,G72503758,CLUB DEPORTIVO JUSENKYO,CLUB DEPORTIVO,LOITA E D.A.,,,"BARRIO TELLEIRO, Nº 15",BARRIO TELLEIRO,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36055,Tui,http://www.wikidata.org/entity/Q824122,677458007,677458007,,2022-11-18
C-14555,G72512825,W.S. PIRATAS DE SAN SIMON,CLUB DEPORTIVO,padel,http://www.wikidata.org/entity/Q1582389,WINDSURF,"RÚA JESÚS FERNÁNDEZ, Nº 9, BAIXO",RÚA JESÚS FERNÁNDEZ,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,685820247,,,2022-11-18
,,,,surfing,http://www.wikidata.org/entity/Q159992,,,,,,,,,,,,,,
,,,,canoeing and kayaking,http://www.wikidata.org/entity/Q213934,,,,,,,,,,,,,,
,,,,DEPORTE XERAL,,,,,,,,,,,,,,,
C-13795,G27512805,ESCOLA DE RUGBY ASTERIX VIVEIRO,CLUB DEPORTIVO,rugby sevens,http://www.wikidata.org/entity/Q270102,,RUA LODEIRO 18 ENTL1,RUA LODEIRO,27850,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27066,Viveiro,http://www.wikidata.org/entity/Q641221,982523328,655850097,,2019-09-24
C-14544,G72552177,RG BIKES SCOTT TEAM,CLUB DEPORTIVO,CICLISMO,,,RUA CARBALLEIRA DO CHOUSIÑO 9 BAIXOnull,RUA CARBALLEIRA DO CHOUSIÑO,36540,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36052,Silleda,http://www.wikidata.org/entity/Q1607540,660550891,,,2022-11-04
C-14578,G10980290,CLUB DEPORTIVO A ESPIRAL BREAKING VIGO,CLUB DEPORTIVO,dancesport,http://www.wikidata.org/entity/Q738622,,"RÚA POETA AÑÓN, Nº 8, 1º",RÚA POETA AÑÓN,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,615459842,,,2022-12-14
C-14548,G72580228,PIBE'S TEAM SANXENXO,CLUB DEPORTIVO,boxing,http://www.wikidata.org/entity/Q32112,,"RUA RÚA OURENSE, Nº 18, 3º K",RUA RÚA OURENSE,36960,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36051,Sanxenxo,http://www.wikidata.org/entity/Q840355,618053931,,,2022-11-14
C-06616,G27255918,S.D. OUTEIRO DE REI,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,LUGAR VILLA S/N,LUGAR VILLA,27150,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27039,Outeiro de Rei,http://www.wikidata.org/entity/Q643709,982393525,,,2000-05-30
,,,,basketball,http://www.wikidata.org/entity/Q5372,,,,,,,,,,,,,,
C-14165,G05350038,CLUBE DE ORIENTACION COMPAS,CLUB DEPORTIVO,orienteering,http://www.wikidata.org/entity/Q29358,,AVENIDA AVDA DE MAGOI  64  1 F,AVENIDA AVDA DE MAGOI,27002,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,696459544,653795106,,2021-04-15
C-10053,,HIPICO EQUIGALIA,CLUB DEPORTIVO,equestrian sport,http://www.wikidata.org/entity/Q902378,DOMA CLÁSICA,CAMIÑO MARCO DE FRIANDE  41,CAMIÑO MARCO DE FRIANDE,36711,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36055,Tui,http://www.wikidata.org/entity/Q824122,688832119,620706474,,2009-02-19
C-01814,G15232440,CLUB VALDETIRES FERROL FÚTBOL SALA FEMININO,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,"RUA INFERNIÑO 26, BAIXO",RUA INFERNIÑO,15403,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15036,Ferrol,http://www.wikidata.org/entity/Q485329,981372836,630184008,,1989-02-03
C-13362,,CLUB SHEN,CLUB DEPORTIVO,dancesport,http://www.wikidata.org/entity/Q738622,TAI CHI CHUAN,"RÚA PUERTO RICO, 35",RÚA PUERTO RICO,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36057,Vigo,http://www.wikidata.org/entity/Q8745,649833211,,,2018-09-19
,,,,gymnastics,http://www.wikidata.org/entity/Q43450,,,,,,,,,,,,,,
,,,,KUNG-FU,,,,,,,,,,,,,,,
X-14541,F09931023,CABALIÑO DO LAGO CENTRO ECUESTRE,SECCIÓN DEPORTIVA,equestrian sport,http://www.wikidata.org/entity/Q902378,,"LUGAR TORRES, POLÍGONO 12, PARCELA 29",LUGAR TORRES,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15087,Valdoviño,http://www.wikidata.org/entity/Q969030,664454960,664454960,,2022-10-31
C-00235,G15116676,CLUB MONTAÑA FERROL-ALPINISTA ABRENTE 1935/36,CLUB DEPORTIVO,orienteering,http://www.wikidata.org/entity/Q29358,,"RÚA CORUÑA, 102, 1º ESQ.- APARTADO DE CORREOS 297",RÚA CORUÑA,15404,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15036,Ferrol,http://www.wikidata.org/entity/Q485329,981355869,619953363,,1984-04-24
,,,,mountaineering,http://www.wikidata.org/entity/Q36908,,,,,,,,,,,,,,
C-06660,,CLUB ASOCIACIÓN DEPORTIVA Y CULTURAL BOGAVANTE,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RÚA FERNÁNDEZ ALBOR, 24-2º B",RÚA FERNÁNDEZ ALBOR,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36023,A Guarda,http://www.wikidata.org/entity/Q300433,670255707,,,2000-06-30
C-05798,G36343010,C. UNION DEPORTIVA UNION GUARDESA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,CARRETERA DO CASTRO  1 1ESQ,CARRETERA DO CASTRO,36789,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36023,A Guarda,http://www.wikidata.org/entity/Q300433,670750817,,,1998-05-15
C-03008,G36159333,S. DE CAZA MONTE SEIXO,CLUB DEPORTIVO,CAZA,,"CAZA MENOR, CAZA MAYOR","LG. DE GABIAN, 3 B",LG. DE GABIAN,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36025,A Lama,http://www.wikidata.org/entity/Q1644983,986108017,,,1991-03-11
C-03286,G32147761,C. D. VELLE,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"LUGAR CASA MARTA PATO. CARRETERA DE MONFORTE, S/N",LUGAR CASA MARTA PATO. CARRETERA DE MONFORTE,32960,32,Ourense,http://www.wikidata.org/entity/Q95038,32054,Ourense,http://www.wikidata.org/entity/Q99151,677524042,677524042,,1991-10-23
C-14540,G72521339,CLUBE ESCOLA XIMNASIA CAMBADOS,CLUB DEPORTIVO,gymnastics,http://www.wikidata.org/entity/Q43450,,"LUGAR CUIÑA, Nº 9",LUGAR CUIÑA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36006,Cambados,http://www.wikidata.org/entity/Q695477,610337467,,,2022-10-31
C-06455,G15729163,"""ASOCIACIÓN CULTURAL DEPORTIVA SANTA LUCIA""",CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"LUGAR BOUZA, 9",LUGAR BOUZA,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15041,A Laracha,http://www.wikidata.org/entity/Q924043,608344286,,,1999-12-21
C-04063,G27176098,A.D. DE CAZADORES A VENATORIA VIVEIRO,CLUB DEPORTIVO,shooting sports,http://www.wikidata.org/entity/Q206989,RECORRIDOS DE CAZA,AVDA MONDOÑEDO 6 BAJO,AVDA MONDOÑEDO,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27063,O Valadouro,http://www.wikidata.org/entity/Q1605462,681145706,,,1993-09-30
,,,,CAZA,,,,,,,,,,,,,,,
C-01100,G15230188,S. DE CAZA CABO VILLANO,CLUB DEPORTIVO,shooting sports,http://www.wikidata.org/entity/Q206989,"PRATO FEDECAT, RECORRIDOS DE CAZA","CAMPO SAN JORGE, 25 - BLOQUE 3",CAMPO SAN JORGE,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15016,Camariñas,http://www.wikidata.org/entity/Q1373985,600767494,600767494,,1987-03-27
,,,,CAZA,,,,,,,,,,,,,,,
,,,,DEPORTE XERAL,,,,,,,,,,,,,,,
C-09942,G70187018,CLUB ITF NOIA,CLUB DEPORTIVO,KICKBOXING E MUAYTHAI,,,RUA PINTOR XENARO CARRERO  36 3C,RUA PINTOR XENARO CARRERO,15200,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15057,Noia,http://www.wikidata.org/entity/Q818601,660364818,,,2008-10-29
,,,,taekwondo,http://www.wikidata.org/entity/Q36389,,,,,,,,,,,,,,
,,,,LOITA E D.A.,,,,,,,,,,,,,,,
,,,,boxing,http://www.wikidata.org/entity/Q32112,,,,,,,,,,,,,,
C-00610,G15065642,C. CICLISTA COMPOSTELANO,CLUB DEPORTIVO,CICLISMO,,"PISTA, CARRETEIRA, BICICLETA MONTAÑA (BTT)","LUGAR ESTAD.MULTIUSOS SAN LÁZARO,SOTANO 1 1",LUGAR ESTAD.MULTIUSOS SAN LÁZARO,15703,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15078,Santiago de Compostela,http://www.wikidata.org/entity/Q14314,609889412,626181991,,1985-07-30
C-09496,G70133665,JUDO CLUB CAMBRE,CLUB DEPORTIVO,JUDO E D.A.,,MMA (ARTES MARCIAIS MIXTAS),"RUA R/ ANXEL FOLE, 1 - 4º A",RUA R/ ANXEL FOLE,15679,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15017,Cambre,http://www.wikidata.org/entity/Q1113375,625370287,,,2007-10-08
,,,,DEPORTE XERAL,,,,,,,,,,,,,,,
C-14115,G42790105,MEIGAS RODAS,CLUB DEPORTIVO,skating,http://www.wikidata.org/entity/Q14300548,,RUA BEDOYA 27,RUA BEDOYA,32004,32,Ourense,http://www.wikidata.org/entity/Q95038,32054,Ourense,http://www.wikidata.org/entity/Q99151,988614054,656262578,,2021-01-18
C-14537,G72263948,CLUB RESTAURANTE PORTA SANTIAGO FUTBOL SALA,CLUB DEPORTIVO,futsal,http://www.wikidata.org/entity/Q171401,,"RONDA DA MURALLA, 176 BAIXO",RONDA DA MURALLA,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,676008992,982252405,,2011-02-01
C-14356,G09681552,ASOCIACIÓN DEPORTIVA MONTE MEDULIO,CLUB DEPORTIVO,rugby sevens,http://www.wikidata.org/entity/Q270102,,"RÚA MONTE CAXADO, 5, 2ºE",RÚA MONTE CAXADO,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15070,As Pontes de García Rodríguez,http://www.wikidata.org/entity/Q1442761,666110017,666110017,,2022-01-28
C-14554,,AUKERA,CLUB DEPORTIVO,kung fu,http://www.wikidata.org/entity/Q208607,TAI CHI CHUAN,"PRAZA DA MINA, 11, 3º F",PRAZA DA MINA,,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36054,Tomiño,http://www.wikidata.org/entity/Q1628263,686552717,,,2022-11-18
C-07108,G32283475,CLUB BALONCESTO XUVENTUDE VERIN,CLUB DEPORTIVO,basketball,http://www.wikidata.org/entity/Q5372,,"CARRETERA CARRETERA DE VILELA,13 BAIXO",CARRETERA CARRETERA DE VILELA,32600,32,Ourense,http://www.wikidata.org/entity/Q95038,32085,Verín,http://www.wikidata.org/entity/Q176504,636573545,,,2001-08-16
C-10460,G15071657,SOCIEDADE DE CAZA E PESCA XALLAS,CLUB DEPORTIVO,CAZA,,,"ANTONIO AMIGO, 2",ANTONIO AMIGO,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15077,Santa Comba,http://www.wikidata.org/entity/Q1442500,630687632,616465068,,2010-04-29
C-06942,G27148808,SOCIEDADE DE CAZADORES CERVANTES,CLUB DEPORTIVO,CAZA,,,"DUMIA, 18",DUMIA,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27012,Cervantes,http://www.wikidata.org/entity/Q1603003,982151377,982364544,,2001-03-15
C-00745,G36044741,C. CICLISTA O ROSAL,CLUB DEPORTIVO,CICLISMO,,,LUGAR BAIXOS GARDERIA MUNICIPAL DE PIAS S/N,LUGAR BAIXOS GARDERIA MUNICIPAL DE PIAS,36770,36,Pontevedra Province,http://www.wikidata.org/entity/Q95086,36048,O Rosal,http://www.wikidata.org/entity/Q603015,647959695,,,1986-02-07
C-10867,G70298815,CLUB DEPORTIVO XIMNASIA RITMICA COMPOSTELA,CLUB DEPORTIVO,gymnastics,http://www.wikidata.org/entity/Q43450,XIMNASIA RÍTMICA,RUA CASTIÑEIRO 4 3A,RUA CASTIÑEIRO,15894,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15082,"Teo, A Coruña",http://www.wikidata.org/entity/Q1635642,649353297,649353297,,2011-06-22
C-00496,G15317183,CLUB DEPORTIVO BAIO,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,RUA CAMPO DO ROLLO S/N,RUA CAMPO DO ROLLO,15150,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15093,Zas,http://www.wikidata.org/entity/Q148174,638474421,617293091,,1985-03-08
X-13417,G15246671,"SPORTING CAMBRE SOCIEDAD DEPORTIVA, CULTURAL Y RECREATIVA",SECCIÓN DEPORTIVA,association football,,"ATLETISMO, BALONCESTO",LUGAR QUINTÁN S/N,LUGAR QUINTÁN,,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15017,Cambre,http://www.wikidata.org/entity/Q1113375,,669255764,,2018-10-29
,,,,DEPORTE XERAL,,,,,,,,,,,,,,,
C-10635,G27413368,CLUB FUTBOL VETERANOS LAMBRUXOS SARRIA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"RÚA FREI LUÍS DE GRANADA, 45",RÚA FREI LUÍS DE GRANADA,,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27057,Sarria,http://www.wikidata.org/entity/Q174833,619953889,,,2010-10-22
C-00409,G15091473,SPORTING CIUDAD A. CULTURAL Y D. DE LA CORUÑA,CLUB DEPORTIVO,association football,http://www.wikidata.org/entity/Q2736,,"PLAZA DE AZCARRAGA 7, BAJO",PLAZA DE AZCARRAGA,15001,15,A Coruña Province,http://www.wikidata.org/entity/Q82119,15030,A Coruña,http://www.wikidata.org/entity/Q8757,981214494,695150000,,1984-11-28
C-04747,G27196583,MOTOC. MURALLA RACING,CLUB DEPORTIVO,MOTOCICLISMO,,,RUA CURROS ENRIQUEZ 32,RUA CURROS ENRIQUEZ,27004,27,Lugo Province,http://www.wikidata.org/entity/Q95027,27028,Lugo,http://www.wikidata.org/entity/Q11125,619733864,982217608,,1995-07-27
