NÚMERO;NIF;DENOMINACION;TIPO_ENTIDADE;MODALIDADES;ESPECIALIDADES;ENDEREZO;CP;CÓDIGO ;PROVINCIA;CÓDIGO CONCELLO;CONCELLO;TELÉFONO 1;TELÉFONO 2;PÁXINA WEB;FECHA_ALTA
C-14657;G13716360;CLUB RÍTMICA CARBALLO;CLUB DEPORTIVO;XIMNASIA;XIMNASIA RÍTMICA; RUA VILA DE NOIA 82 4b;15100;15;A CORUÑA;15019;CARBALLO;626922309;636456155;;19/04/2023
C-14656;;CLUB URBAN GALICIA BREAKING;CLUB DEPORTIVO;BAILE DEPORTIVO;; R/ NATURALISTA LÓPEZ SEOANE,25/27,ENTRESOLO H;;15;A CORUÑA;15036;FERROL;626286068;608420186;;19/04/2023
C-14663;;CLUB BILLAR DEZA;CLUB DEPORTIVO;BILLAR;; LOCAL SOCIAL Nº 4;;36;PONTEVEDRA;36059;VILA DE CRUCES;600515895;;;28/04/2023
C-02204;;CLUB CICLISTA BUEU;CLUB DEPORTIVO;CICLISMO;; RÚA A PEDRA S/N - PAVILLÓN DE DEPORTES DE BUEU S/N;;36;PONTEVEDRA;36004;BUEU;986322741;;;20/06/1989
C-13245;G94169984;ESCUDERIA PONTEVEDRA 1984 TEAM;CLUB DEPORTIVO;AUTOMOBILISMO;; RUA JOAQUIN COSTA 79 A 5D;36004;36;PONTEVEDRA;36038;PONTEVEDRA;645122252;;;14/05/2018
C-10833;G94043700;ESCOLA FÚTBOL BASE CANGAS;CLUB DEPORTIVO;FÚTBOL;; CAMIÑO VELLO SAN ROQUE 110;36940;36;PONTEVEDRA;36008;CANGAS;629478152;609887064;;19/05/2011
C-13200;G02939932;PADEL SUR;CLUB DEPORTIVO;PÁDEL;; AV. VAL MIÑOR Nº 38 - 3º B - A ANGUSTIA;;36;PONTEVEDRA;36035;NIGRÁN;652903356;;;26/02/2018
C-06096;;A.DEPORTIVO CULTURAL BERRES;CLUB DEPORTIVO;TENIS, FÚTBOL, CICLISMO, BALONCESTO, ATLETISMO;; LUGAR CAMPO DE FÚTBOL S/N;36688;36;PONTEVEDRA;36017;ESTRADA, A;986587656;;;04/01/1999
C-06817;G36373140;CLUB OLIMPIC;CLUB DEPORTIVO;TAEKWONDO, JUDO E D.A.;HAPKIDO; CL AQUILINO IGLESIAS ALVARIÑO, 13 B CHA.;;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;619048411;;;24/11/2000
C-00040;G15128853;C. RÍA DE BETANZOS;CLUB DEPORTIVO;PIRAGÜISMO;; AVENIDA RAMÓN BEADE S/N;15300;15;A CORUÑA;15009;BETANZOS;686462684;686462684;;23/11/1983
C-12671;G94142924;CLUB DE BILLAR PONTEAREAS;CLUB DEPORTIVO;BILLAR;; LUGAR O Puño 36;36863;36;PONTEVEDRA;36042;PONTEAREAS;686450590;;;16/06/2016
C-04794;G15538309;CLUB CICLISTA MELIDENSE;CLUB DEPORTIVO;CICLISMO;CICLOTURISMO, CARRETEIRA; RUA OVEDO 8 BAIXO;15800;15;A CORUÑA;15046;MELIDE;626985591;;;16/10/1995
C-06980;G27271394;SOCIEDAD DEPORTIVA DE CAZADORES SANTA EULALIA DE QUINTA;CLUB DEPORTIVO;CAZA;; CASTELAO, 46 1 IZQ;;27;LUGO;27028;LUGO;676749684;;;10/04/2001
C-13179;G70549407;CLUB TRIEUME AS PONTES;CLUB DEPORTIVO;CICLISMO, ATLETISMO, DEPORTE XERAL;TRÍATLON, DUATLÓN; POBOADO MAGDALENA, B2 - 4º D;15320;15;A CORUÑA;15070;PONTES DE GARCÍA RODRÍGUEZ, AS;607984976;607984976;;31/01/2018
C-03397;G15380082;C.E DE FUTBOL SANTA CRUZ DE LIANS;CLUB DEPORTIVO;FÚTBOL;; R/ DANIEL RODRIGUEZ CASTELAO, Nº 13 BAJO;;15;A CORUÑA;15058;OLEIROS;627946682;627946682;;23/01/1992
C-03130;G15336704;ONCE CABALLEROS C.F.;CLUB DEPORTIVO;FÚTBOL, BALONMÁN;; RUA C/ CONSTITUCIÓN, 24 BAJO;15679;15;A CORUÑA;15017;CAMBRE;689216195;619345002;;20/06/1991
C-10214;G70222450;CLUB ATLÉTICO FÁTIMA;CLUB DEPORTIVO;FÚTBOL;; TRAVESIA TRAV. DIVINA PASTORA, 28;15702;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;698190970;667533438;;02/09/2009
C-10504;G70255609;TRIBU MOHICAN CLUB;CLUB DEPORTIVO;MOTOCICLISMO;; VILAVELLA - VILA, 16;;15;A CORUÑA;15070;PONTES DE GARCÍA RODRÍGUEZ, AS;626114777;615676003;;16/06/2010
C-14693;G44700193;RF COMPETICIÓN;CLUB DEPORTIVO;AUTOMOBILISMO;RALLYES; LUGAR CARBALLEDA, Nº 21;;36;PONTEVEDRA;36024;LALÍN;666142700;;;29/05/2023
C-14654;G44916443;SEIJO RALLY TEAM;CLUB DEPORTIVO;MOTOCICLISMO, AUTOMOBILISMO;; LUGAR BARRO, 18 - FIUNTE;27550;27;LUGO;27060;TABOADA;651497268;651497268;;17/04/2023
C-08330;G36483675;Asociación Deportiva Arousa Futbol-7;CLUB DEPORTIVO;FÚTBOL;; AVENIDA MATOSIÑOS 15 BAIXOnull;36601;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;698184140;;;22/11/2004
C-10125;G94008158;CLUB DE TENIS PONTEAREAS;CLUB DEPORTIVO;TENIS;; RUA BARRANCO FREIXA ;36860;36;PONTEVEDRA;36042;PONTEAREAS;607161182;607161182;;13/05/2009
C-14651;G72805799;GALIAM TKD;CLUB DEPORTIVO;KICKBOXING E MUAYTHAI, XIMNASIA, TAEKWONDO, KARATE, JUDO E D.A., BOXEO;HAPKIDO, XIMNASIA RÍTMICA, MUAI THAI, AEROBIC; JUAN SEBASTIÁN ELCANO, 7-A, 2º;;15;A CORUÑA;15073;RIBEIRA;696380819;981871436;;12/04/2023
C-08659;G36511897;M.N.M. (MÓVETE NA MOTO);CLUB DEPORTIVO;MOTOCICLISMO;; LUGAR VILATUXE Nº 15 15;36519;36;PONTEVEDRA;36024;LALÍN;649861705;;;19/10/2005
X-13682;G70589650;ASOCIACIÓN CLUB DEPORTIVO HYDRA;SECCIÓN DEPORTIVA;BÁDMINTON;; LUGAR LUGAR PENEDO RENDAL 14. O CARREGAL 14;15310;15;A CORUÑA;15032;CURTIS;640763080;686923554;;03/06/2019
C-13646;G27868777;ACRO CLUB NIGRÁN;CLUB DEPORTIVO;XIMNASIA;XIMNASIA ARTÍSTICA, XIMNASIA RÍTMICA; RUA RÚA CURROS ENRÍQUEZ, 6 6;36350;36;PONTEVEDRA;36035;NIGRÁN;698121863;;;24/04/2019
C-05758;G36373132;C. KELTOI CRUCES;CLUB DEPORTIVO;LOITA E D.A.;LOITA LIBRE OLIMPICA, KICKBOXING; SEGUNDA TRAVESIA VAZQUEZ,7-1º B;;36;PONTEVEDRA;36059;VILA DE CRUCES;986582204;;;27/03/1998
C-07179;G32153678;SOCIEDAD DEPORTIVA DE CAZA OS BLANCOS;CLUB DEPORTIVO;CAZA;; NOCEDA DE RIBEIRA, Nº33;;32;OURENSE;32012;BLANCOS, OS;988466361;637299000;;27/09/2001
C-11805;;TEAM THUNDER;CLUB DEPORTIVO;BOXEO;; RUA CRUCEIRO DO VENTO 94 nullB;36900;36;PONTEVEDRA;36026;MARÍN;618106973;;;09/01/2014
C-02114;G27111509;CLUBE CICLISTA MONFORTE;CLUB DEPORTIVO;TRÍATLON E PENTATLÓN MODERNO, CICLISMO;; RUA DUQUESA DE ALBA, 80 BAIXO;;27;LUGO;27031;MONFORTE DE LEMOS;660251421;;;09/05/1989
C-11801;G27795350;PATINAXE ARTÍSTICA GONDOMAR;CLUB DEPORTIVO;PATINAXE;PATINAXE ARTÍSTICO; RUA BORREIROs 6;36378;36;PONTEVEDRA;36021;GONDOMAR;679857797;;;08/01/2014
C-14412;G10644359;GALLAECIA CLUB DE FÚTBOL;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL, BALONCESTO, ATLETISMO;; RÚA PADRONÉS,20;;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;645264610;645264610;;07/04/2022
C-07560;;GIMNASIO ODISEA SPORT CLUB;CLUB DEPORTIVO;XIMNASIA, TAEKWONDO, SALVAMENTO E SOCORRISMO, LOITA E D.A., KUNG-FU, KARATE, JUDO E D.A., FÚTBOL SALA, FÚTBOL, BOXEO, ATLETISMO, DEPORTE XERAL;TATAMI SPORT LIGHTCONTACT, RING SPORT FULLCONTACT, DEFENSA PERSONAL, WUSHU, THAI BOXING, KICKBOXING, DEPORTES ORIENTAIS, MMA (ARTES MARCIAIS MIXTAS), AEROBIC; RODRIGUEZ SEOANE, 12 - BAJO;;36;PONTEVEDRA;36038;PONTEVEDRA;616075151;;;11/10/2002
C-09836;G27383470;CLUB OS PINCHEIROS;CLUB DEPORTIVO;PIRAGÜISMO, MONTAÑISMO, CICLISMO, ACTIVIDADES SUBACUÁTICAS;; ARCADIO PARDIÑAS 135 SEMISOT;;27;LUGO;27902;BURELA;607373837;;;21/07/2008
C-00132;G32010613;C. ALPINO MANZANEDA-CLUB ALPINO OURENSÁN;CLUB DEPORTIVO;MONTAÑISMO, ESPELEOLOXÍA, DEPORTES DE INVERNO;SENDEIRISMO / ANDAINAS, ESCALADA, ESQUÍ ALPINO, ORIENTACION ATLETICA; R/ ERVEDELO, Nº 32-34 - CENTRO COMERCIAL COUTO - LOCAL 59;;32;OURENSE;32054;OURENSE;642973158;627218343;;19/12/1983
X-14419;G67861476;BOLBORETAS A CORUÑA;SECCIÓN DEPORTIVA;PIRAGÜISMO;; RÚA ENRIQUE MARIÑAS ROMERO, 32,BAIXO;;15;A CORUÑA;15030;CORUÑA, A;616984728;616984728;;18/04/2022
C-08192;;CLUB BALONMAN SEIS DO NADAL-COIA;CLUB DEPORTIVO;VOLEIBOL, BALONMÁN, ATLETISMO;; RUA MONDARIZ 2;36209;36;PONTEVEDRA;36057;VIGO;744756485;606547314;www.seisdonadal.com;01/07/2004
C-00743;G15335243;HOCKEY CLUB BORBOLLA;CLUB DEPORTIVO;HOCKEY;; RUA RÚA PONDAL, 2, 6º E 2 6Izda.;15004;15;A CORUÑA;15030;CORUÑA, A;630271959;630271959;;07/02/1986
C-13791;G15587272;CLUB TEIXEIRO 85;CLUB DEPORTIVO;TIRO OLÍMPICO, PESCA E CASTING, FÚTBOL SALA, DEPORTE XERAL;PRATO FEDECAT; AVDA. DOUTOR LUIS NOVO 9. TEIXEIRO;;15;A CORUÑA;15032;CURTIS;606736500;606736500;;23/09/2019
C-06865;;SOCIEDADE CULTURAL DEPORTIVA PONTE CALDELAS,ESC.FUTBOL;CLUB DEPORTIVO;FÚTBOL;; RUA EMIGRANTE S/N;36820;36;PONTEVEDRA;36043;PONTE CALDELAS;637507181;;;10/01/2001
C-13451;G94181039;CLUB CICLISTA RIBADUMIA;CLUB DEPORTIVO;CICLISMO;; LUGAR CAMPO DE FÚTBOL DE LEIRO, S/N;36636;36;PONTEVEDRA;36046;RIBADUMIA;605060221;;;20/11/2018
C-12134;G70435441;BOLOS BOIRO;CLUB DEPORTIVO;BOLOS;BOLO CELTA; POMAR DO RÍO-CURES,15;;15;A CORUÑA;15011;BOIRO;698165148;698165148;;01/12/2014
C-12377;G27822006;CLUB DE PIRAGÜISMO OLÍVICO;CLUB DEPORTIVO;PIRAGÜISMO;; RUA Moaña 3 8D;36209;36;PONTEVEDRA;36057;VIGO;629501310;;;04/09/2015
C-14647;G44692754;CLUBE DE TAEKWONDO QUELONIA;CLUB DEPORTIVO;TAEKWONDO;; RÚA VALIÑA, Nº 25, 5º A;;36;PONTEVEDRA;36041;POIO;670576627;;;10/04/2023
C-09631;V70149190;CLUB PATÍN CONXURO A LARACHA;CLUB DEPORTIVO;PATINAXE;HOCKEY SOBRE PATÍNS, PATINAXE ARTÍSTICO; EPIFANIO CAMPO NUÑEZ, 10 - 2º D;;15;A CORUÑA;15041;LARACHA, A;677669926;677669926;;25/01/2008
C-08028;G15923428;CLUB WATERPOLO SANTIAGO;CLUB DEPORTIVO;NATACIÓN;WATERPOLO; RUA PISCINA STA. ISABEL. R./ TRAS SANTA ISABEL, S/N;15701;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;691666819;639115172;;22/01/2004
C-11605;G70376645;CLUB PATINAXE ARTISTICA OMEGA;CLUB DEPORTIVO;PATINAXE;; RUA RÚA XEIXO 5, 5º N. O MILLADOIRO;15895;15;A CORUÑA;15002;AMES;679210591;679210591;;12/06/2013
C-14300;G67763581;CLUB DEPORTIVO MALAMIA;CLUB DEPORTIVO;TAEKWONDO;; RÚA SEVERO OCHOA, 4-6, SOTO;15930;15;A CORUÑA;15030;CORUÑA, A;690020606;690020606;;22/11/2021
X-14223;G15839178;FUNDACIÓN UNIVERSITARIO DE FERROL;SECCIÓN DEPORTIVA;BALONCESTO;; CANTÓN DE MOLÍNS, 6, BAIXO ESQ.;;15;A CORUÑA;15036;FERROL;626008645;626008645;;20/07/2021
C-00486;G15161359;C. DE REMO SAN FELIPE;CLUB DEPORTIVO;REMO, ACTIVIDADES SUBACUÁTICAS;; LUGAR SAN FELIPE, S/N;15590;15;A CORUÑA;15036;FERROL;639917913;639917913;;22/02/1985
C-14645;G44954956;KINA FUTSAL;CLUB DEPORTIVO;FÚTBOL;FÚTBOL SALA; AVENIDA AVDA. DE CELANOVA, 24 - 2ºD;32002;32;OURENSE;32008;BARBADÁS;698152930;698152930;;04/04/2023
C-14644;G13721469;CLUBE DE PARAPENTE SERRA DO LAROUCO;CLUB DEPORTIVO;DEPORTES AÉREOS, DEPORTE XERAL;PARAPENTE, ALA DELTA; R/ CERVANTES, Nº 12 - BAIXO;;32;OURENSE;32054;OURENSE;619371964;600693856;;03/04/2023
C-14643;;MOTOCLUB O PETOUCO;CLUB DEPORTIVO;MOTOCICLISMO;; LUGAR LG. OGAS 47;15129;15;A CORUÑA;15092;VIMIANZO;646583067;606774472;;08/05/2009
C-05745;G15643554;A. DE MONTAÑA E ESCALADA BESTARRUZA;CLUB DEPORTIVO;MONTAÑISMO;ESCALADA; CENTROS SOCIOCULTURAL DAS CASAS BARATAS. R FENE;;15;A CORUÑA;15051;MUGARDOS;669515217;342596;;16/03/1998
C-04932;G15548944;CLUB BTT ULTREIA;CLUB DEPORTIVO;CICLISMO;; RUA Hórreo 54;15701;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;654448283;639655385;;01/03/1996
C-09121;G36537819;DOM +;CLUB DEPORTIVO;JUDO E D.A.;; LUGAR OFICINA PAVILLÓN POLIDEPORTIVO DE A RAÑA;36900;36;PONTEVEDRA;36026;MARÍN;679694818;;;20/11/2006
C-12274;;OS GALÁCTICOS DE SOUTOMAIOR;CLUB DEPORTIVO;CAZA;; RÚA LOURIDO, Nº 42 A;;36;PONTEVEDRA;36053;SOUTOMAIOR;;;;14/05/2015
C-07965;G36931582;FLIC FLAC;CLUB DEPORTIVO;XIMNASIA;XIMNASIA ARTÍSTICA, XIMNASIA RÍTMICA; RUA RÚA VISTA ALEGRE 30 1C;36201;36;PONTEVEDRA;36057;VIGO;625498595;;www.flicflac.es;21/11/2003
C-14648;G44788073;CLUB A IRMANDADE PRIEGUE;CLUB DEPORTIVO;PETANCA;; O TORREIRO, Nº 2 A;;36;PONTEVEDRA;36035;NIGRÁN;;;;10/04/2023
C-05896;G36295681;C. BALONCESTO VILAGARCIA;CLUB DEPORTIVO;BALONCESTO;; RUA ARZOBISPO ANDRADE 2 BAJOnull;36600;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;685842871;685842871;https://www.cbvilagarcia.com/es;24/07/1998
C-01062;G36649408;CLUB DEPORTIVO COLEXIO MARIANO;CLUB DEPORTIVO;BALONMÁN, BALONCESTO;; RUA URZAIZ 122;36205;36;PONTEVEDRA;36057;VIGO;986275168;;;17/03/1987
C-00416;G36708303;C. SAN IGNACIO DE LOITA;CLUB DEPORTIVO;LOITA E D.A.;LOITA SAMBO, GRECORROMANA; CALZADA C/ MIMOSA;36207;36;PONTEVEDRA;36057;VIGO;667390750;667390750;;03/12/1984
C-12867;G94152337;CLUB DE BILLAR POOLEROS DEL MORRAZO;CLUB DEPORTIVO;BILLAR;; RUA FERROL 10 BAIXOnull;36940;36;PONTEVEDRA;36008;CANGAS;680410409;886117011;https://www.facebook.com/PoolerosMorrazo/;13/02/2017
C-06949;G32028847;SOCIEDAD DE CAZA O CORZO;CLUB DEPORTIVO;CAZA;; CAMIÑO GULPILLEIRAS, Nº 63;;32;OURENSE;32009;BARCO DE VALDEORRAS, O;988321670;669739081;;21/03/2001
C-02757;G36770931;A. D. LAVADORES C. DE FUTBOL;CLUB DEPORTIVO;FÚTBOL;; RAMÓN NIETO, 347;;36;PONTEVEDRA;36057;VIGO;609886610;;;21/09/1990
C-05976;G36320380;C. ATLETISMO PORRIÑO;CLUB DEPORTIVO;ATLETISMO, DEPORTE XERAL;TRÍATLON; POLIGONO POLÍGONO INDUSTRIAL A GRANXA, PARC. 248 A;36475;36;PONTEVEDRA;36039;PORRIÑO, O;647778045;;;05/10/1998
C-13565;G27865831;CLUB PATINAXE ARTISTICO CORUXO;CLUB DEPORTIVO;PATINAXE;; CAMIÑO COUTO, 120;36331;36;PONTEVEDRA;36057;VIGO;608381853;669744556;;04/02/2019
C-10653;G27412840;CLUB ESCUDERIA A PONTENOVA;CLUB DEPORTIVO;AUTOMOBILISMO;; LUGAR HERMIDA DE VILABOA, 5;;27;LUGO;27048;PONTENOVA, A;982280952;629031206;;11/11/2010
F-02237;V15255003;FEDERACIÓN GALEGA DE BEISBOL E SOFBOL;FEDERACIÓN DEPORTIVA GALEGO;BÉISBOL E SÓFTBOL;; AVENIDA GLASGOW- COMPLEXO DEPORTIVO ELVIÑA 13;15008;15;A CORUÑA;15030;CORUÑA, A;981658097;641506058;www.fegabe.com;29/08/1989
F-00333;G15109077;FEDERACIÓN GALEGA DE ESGRIMA;FEDERACIÓN DEPORTIVA GALEGO;ESGRIMA;; PRAZA AGUSTIN DÍAZ 1 null2;15008;15;A CORUÑA;15030;CORUÑA, A;981284515;981664266;;07/09/1984
F-00194;G15108996;FEDERACIÓN GALEGA DE BOXEO;FEDERACIÓN DEPORTIVA GALEGO;BOXEO;; PRAZA AGUSTÍN DÍAZ  1;15008;15;A CORUÑA;15030;CORUÑA, A;981925946;;www.fgboxeo.org;12/03/1984
F-00321;G15067978;FEDERACIÓN GALEGA DE VOLEIBOL;FEDERACIÓN DEPORTIVA GALEGO;VOLEIBOL;; AVENIDA AVDA. DE GLASGOW 13 13;15008;15;A CORUÑA;15030;CORUÑA, A;981134453;;;13/06/1984
C-03337;G15288954;SOCIEDADE DEPORTIVA E CULTURAL DE TEIXEIRO;CLUB DEPORTIVO;FÚTBOL;; RÚA ANTÓN DE PEPIÑO 40 BAIXO;;15;A CORUÑA;15032;CURTIS;617703064;617703064;;10/12/1991
F-00645;G36644466;FEDERACIÓN GALEGA DE PETANCA;FEDERACIÓN DEPORTIVA GALEGO;PETANCA;; FOTÓGRAFO LUIS KSADO 17 218;36209;36;PONTEVEDRA;36057;VIGO;698123098;;;30/09/1985
C-13313;G94175502;RITMICA AGARIMO;CLUB DEPORTIVO;XIMNASIA;; AVENIDA A CAÑOTA 12 1ºIZDA;36900;36;PONTEVEDRA;36026;MARÍN;657559178;657559178;;16/08/2018
C-07976;G36451052;A QUINTA DE TUI FUTSAL;CLUB DEPORTIVO;FÚTBOL;FÚTBOL SALA; RUA RÚA CALZADA 15 2b;36700;36;PONTEVEDRA;36055;TUI;627050920;;;26/11/2003
C-07490;G36417822;ASOCIACIÓN DEPORTIVA VILA DE CORPUS FÚTBOL CLUB;CLUB DEPORTIVO;HOCKEY, FÚTBOL, BALONMÁN, ATLETISMO, DEPORTE XERAL;HOCKEY SOBRE PATÍNS; LUGAR LG. ABELLEIRA- CAMPO DE FÚTBOL DE ANGOARES;36867;36;PONTEVEDRA;36042;PONTEAREAS;605960389;;;16/08/2002
C-02922;G36140002;ESCOLA DE XADREZ LALIN;CLUB DEPORTIVO;XADREZ;; RUA PUENTE 65;36500;36;PONTEVEDRA;36024;LALÍN;634445176;986780868;;18/01/1991
C-12064;;COUTADAS TRAIL TEAM;CLUB DEPORTIVO;MONTAÑISMO, CICLISMO, ATLETISMO;; RÚA SARDOMELA, Nº 36;;36;PONTEVEDRA;36057;VIGO;678133319;;;29/09/2014
F-00305;V36650133;FEDERACIÓN GALEGA DE BOLOS;FEDERACIÓN DEPORTIVA GALEGO;BOLOS;; RUA FOTÓGRAFO LUIS KSADO  17 116;36209;36;PONTEVEDRA;36057;VIGO;659667521;986202541;;26/06/1984
C-13222;;BAREDO BIRLOS CLUB;CLUB DEPORTIVO;BOLOS;BOLO CELTA; BARRIO CANCELO 13;36309;36;PONTEVEDRA;36003;BAIONA;645917543;;https://www.baredobirlosclub.es;16/03/2018
C-13361;G70563572;SOANDRES C.F.;CLUB DEPORTIVO;FÚTBOL;; CAMPO MEDADO 1;;15;A CORUÑA;15041;LARACHA, A;657048199;657048199;;19/09/2018
C-11112;G27767102;5TH  PINE  MTB  TEAM;CLUB DEPORTIVO;CICLISMO, DEPORTE XERAL;TRÍATLON, DUATLÓN, RAID, ATLETISMO, BICICLETA MONTAÑA (BTT); CL. PIZARRO, 13 - 2º C;;36;PONTEVEDRA;36057;VIGO;680405406;;;24/01/2012
C-13079;G70537469;CLUB ATLETISMO BETANZOS MONTAÑA;CLUB DEPORTIVO;ORIENTACIÓN, SURF, VELA, PIRAGÜISMO, NATACIÓN, MONTAÑISMO, CICLISMO, ATLETISMO, DEPORTE XERAL;MARCHA ATLÉTICA; BETANZOS O VELLO, 20 A;15319;15;A CORUÑA;15009;BETANZOS;658792611;666307226;;29/09/2017
C-14640;;ESCUDERÍA JRT MOTORSPORT;CLUB DEPORTIVO;AUTOMOBILISMO;SLALOM AUTOMOBILISMO, RALLYES, CIRCUÍTO PERMANENTE KARTING; CASAS DO MONTE, Nº 10;;36;PONTEVEDRA;36052;SILLEDA;609593871;;;27/03/2023
C-02563;G32115388;ESCOLA DEPORTIVA SECUNDINO BASALO;CLUB DEPORTIVO;FÚTBOL SALA, FÚTBOL;; R/ CASTELO RAMIRO, 1;;32;OURENSE;32054;OURENSE;618267326;618267323;;01/03/1990
C-13597;G27863661;CLUB DEPORTIVO COUSO;CLUB DEPORTIVO;FÚTBOL;; BARRIO A LAXE S/N (CASA VECIÑAL);;36;PONTEVEDRA;36021;GONDOMAR;627971633;;;28/02/2019
C-02426;G15169774;S.D. DE CAZA XABARIN;CLUB DEPORTIVO;CAZA;; AVDA. RICARDO SÁNCHEZ, 30   4º;;15;A CORUÑA;15069;PONTEDEUME;981431586;620963623;;03/01/1990
C-11413;;"CLUB DE BAILE DEPORTIVO ""ARTE Y DANZA""";CLUB DEPORTIVO;BAILE DEPORTIVO;; RÚA CAMELIAS NÚM. 108 -4º B;;36;PONTEVEDRA;36057;VIGO;678513798;;;15/11/2012
C-02923;G32004244;CLUB SANTO DOMINGO;CLUB DEPORTIVO;TENIS, DEPORTE XERAL;PÁDEL; LUGAR LG. A DERRASA 55;32792;32;OURENSE;32058;PEREIRO DE AGUIAR, O;988380043;607643626;www.clubsantodomingo.es;25/01/1991
C-04755;;SOCIEDADE DEPORTIVA DE CAZADORES DE BUEU;CLUB DEPORTIVO;CAZA;; RÚA ACHADIZA Nº 38;;36;PONTEVEDRA;36004;BUEU;661156036;;;05/09/1995
C-13564;G94185741;LIAVI KICK BOXING CLUB;CLUB DEPORTIVO;KICKBOXING E MUAYTHAI, LOITA E D.A., BOXEO;; ALDEA 29;36693;36;PONTEVEDRA;36045;REDONDELA;670086523;;;04/02/2019
C-00676;G15099617;SOCIEDADE CÍRCULO CULTURAL, RECREATIVO E DEPORTIVO DE PERLÍO;CLUB DEPORTIVO;TENIS, FÚTBOL;; RUA SAN SALVADOR 12-14;15500;15;A CORUÑA;15035;FENE;649866494;649866494;www.perlio.net;15/11/1985
C-07618;G15877848;"CLUB DE PESCA DEPORTIVA ""O CAPOTE""";CLUB DEPORTIVO;PESCA E CASTING;; RUA JOSÉ MARÍA HERNANDEZ, Nº 10 BAIXO;15009;15;A CORUÑA;15030;CORUÑA, A;981282589;670820269;;11/12/2002
X-14639;;ASOCIACIÓN GALEGA DE DEPORTISTAS TRANSPLANTADOS E EN DIÁLISE (DETRADI GALICIA);SECCIÓN DEPORTIVA;ORIENTACIÓN, PÁDEL, TENIS DE MESA, TENIS, PETANCA, NATACIÓN, GOLF, CICLISMO, BOLOS, BÁDMINTON, ATLETISMO, DEPORTE XERAL;DARDOS; RÚA ROSALÍA DE CASTRO, Nº 29, 2º C;;36;PONTEVEDRA;36038;PONTEVEDRA;617401030;;;23/03/2023
C-10059;G70205349;CLUB NAUTICO MARINA CORUÑA;CLUB DEPORTIVO;VELA;; PASEO MARÍTIMO ALCALDE FCO. VÁZQUEZ, S/N;15001;15;A CORUÑA;15030;CORUÑA, A;676465305;;;27/02/2009
C-11639;G70382585;CLUB ARTEIXO BALONMÁN;CLUB DEPORTIVO;BALONMÁN;; TRAVESIA Travesía de Sabón 13 2ºDR.;15141;15;A CORUÑA;15005;ARTEIXO;620977920;649486494;;11/07/2013
C-00413;G15166333;CLUB DE REMO MUROS;CLUB DEPORTIVO;REMO;; LUGAR TRAS DA LONXA VELLA, S/N;15250;15;A CORUÑA;15053;MUROS;626438124;626438124;;28/11/1984
C-14638;;PAZO DE LIS SPORT HORSES;CLUB DEPORTIVO;HÍPICA;DOMA CLÁSICA, SALTOS, COMPETICION; LUGAR DE LIS;;36;PONTEVEDRA;36052;SILLEDA;664457357;;;22/03/2023
X-13064;G70138086;ASOCIACION DEPORTIVO CULTURAL NEGREIRA VETERANOS;SECCIÓN DEPORTIVA;FÚTBOL;; AVENIDA AV. DA BARCALA, 7;15830;15;A CORUÑA;15056;NEGREIRA;620407286;651861200;;22/09/2017
C-14637;;CLUB RAN PADEL;CLUB DEPORTIVO;PÁDEL;; LUGAR DE PAREDES, 5;;15;A CORUÑA;15007;BAÑA, A;689170108;689170108;;22/03/2023
C-12372;;CC EL PUERTO BWS;CLUB DEPORTIVO;CICLISMO;; RÚA DOMINGO DE ANDRADE, 1;;36;PONTEVEDRA;36038;PONTEVEDRA;986102349;;;02/09/2015
C-14670;G44594067;EQUIPO PRDO COMPETICIÓN;CLUB DEPORTIVO;AUTOMOBILISMO;RALLYES; RÚA MESTRA DA EMERITA, Nº 13, 1º A;;36;PONTEVEDRA;36035;NIGRÁN;986367971;;;04/05/2023
C-01459;G36059202;A. D. CORTEGADA DE CARRIL;CLUB DEPORTIVO;BALONCESTO;; RUA CASTELAO 13 2null;36600;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;626335232;;;29/02/1988
C-04110;G36205698;C. DE REMO VILAXOAN;CLUB DEPORTIVO;REMO;; RUA RÚA RAMÓN PATIÑO DEL VALLE, 7 7;36611;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;969712194;;;13/12/1993
C-14116;G42727487;OSDOSACHO;CLUB DEPORTIVO;CICLISMO;; RUA RÚA SAN CIPRIÁN 18 nullD;36388;36;PONTEVEDRA;36021;GONDOMAR;605606843;;;19/01/2021
C-04293;G36213197;C.E DE XADREZ A.C. A ESTRADA;CLUB DEPORTIVO;XADREZ;; RUA CALVO SOTELO 8 3null;36680;36;PONTEVEDRA;36017;ESTRADA, A;616138120;667584504;;15/04/1994
C-05469;;C. WINDSURF GALICIA;CLUB DEPORTIVO;SURF, VELA;; LUGAR DE AREAS, 10 - BORDÓNS;;36;PONTEVEDRA;36051;SANXENXO;657430999;;;11/06/1997
